ts,duty_cycle,acc,speed_l,speed_r,speed_avg
1649720766813,47,1.2547848595848594,172.21195499790986,320.64436147210625,246.42815823500806
1649720766846,45,1.0919501831501832,218.8758083920822,300.91591898798913,259.89586369003564
1649720766879,42,-0.18199169719169717,261.8830367260622,279.0464222694866,270.4647294977744
1649720766913,42,-0.50766105006105,286.6040909637802,276.8453562718148,281.7247236177975
1649720766946,41,-1.2547848595848594,317.9741233490237,285.36587099786016,301.66999717344197
1649720767013,41,-0.4022974358974359,330.1762222466019,287.43385303223147,308.8050376394167
1649720767046,41,-0.10536361416361416,329.0815467311953,295.207454350101,312.14450054064815
1649720767079,42,-1.3601484737484737,321.7115528307628,292.6663751688071,307.18896399978496
1649720767113,44,0.2586197802197802,326.6026111329047,311.2887881878611,318.9456996603829
1649720767146,47,0.23946275946275944,336.13508377363115,313.26569744438564,324.7003906090084
1649720767179,47,-0.3065123321123321,337.136090123667,325.14004034615726,331.1380652349121
1649720767213,48,0.4789255189255189,336.65352405311955,328.082604985972,332.3680645195458
1649720767246,48,-0.5651321123321124,352.0740914664194,342.4791367673701,347.27661411689473
1649720767346,48,0.09578510378510377,360.22719174927096,360.49514061466357,360.3611661819673
1649720767379,48,-0.20114871794871794,366.45915288518484,369.77121607222426,368.1151844787046
1649720767413,48,-1.1111072039072039,375.5372143104248,850.8825608515474,613.2098875809861
1649720767446,48,-0.18199169719169717,372.63506351999104,361.9865384632573,367.3108009916242
1649720767513,48,-0.9674295482295481,380.297788587776,367.0963423377859,373.697065462781
1649720767613,48,-0.1245206349206349,372.49892322985363,366.05954457994955,369.2792339049016
1649720767679,48,0.6513387057387057,383.5176738660617,357.4447113722839,370.4811926191728
1649720767713,48,-0.4501899877899878,383.14913916752465,353.59866517000467,368.37390216876463
1649720767746,48,-0.8045948717948718,381.7293306610272,353.2397266913289,367.484528676178
1649720767779,48,-0.6704957264957265,387.73474172024567,354.3792239799387,371.05698285009214
1649720767813,48,1.044057631257631,377.3182790511405,360.948123476981,369.13320126406074
1649720767846,44,-0.09578510378510377,384.9045858121027,361.86278013447884,373.3836829732908
1649720767913,42,0.2203057387057387,366.16270541905305,380.26523546819203,373.21397044362254
1649720767946,42,0.057471062271062266,357.89127147605194,370.61296836023655,364.2521199181442
1649720767979,40,1.0057435897435896,360.910608873054,367.4109590013389,364.16078393719647
1649720768013,40,0.4022974358974359,366.60296413657926,363.0712838183478,364.83712397746353
1649720768113,40,-0.4501899877899878,356.72785005410594,345.1228846757585,350.9253673649322
1649720768146,40,-0.785437851037851,353.63206871900854,343.8592039777924,348.74563634840047
1649720768179,40,-0.833330402930403,342.81201542155105,341.1253369183362,341.9686761699436
1649720768213,40,1.0249006105006104,333.528720227632,336.7014301755561,335.11507520159404
1649720768279,39,-0.9386940170940171,355.25413792096623,324.9008349209539,340.0774864209601
1649720768346,38,-2.164743345543345,344.0226405270089,319.577876712949,331.80025861997893
1649720768446,37,1.0057435897435896,323.0028127520567,311.5085261757716,317.25566946391416
1649720768479,36,-1.0249006105006104,327.7467039961764,313.57990109240166,320.663302544289
1649720768546,32,0.8524874236874236,320.8549935072408,320.18908617904975,320.5220398431453
